,관객 평점,전문가 평점,동영상,등급,상영 시간,제작 국가,관객수,개봉계절_봄,개봉계절_여름,개봉계절_가을,개봉계절_겨울,요일,장르_SF,장르_공포,장르_느와르,장르_다큐멘터리,장르_드라마,장르_멜로/로맨스,장르_모험,장르_뮤지컬,장르_미스터리,장르_범죄,장르_블랙코미디,장르_서스펜스,장르_스릴러,장르_애니메이션,장르_액션,장르_코미디,장르_판타지
0,9.04,6.09,20,15,137.0,1,12186327.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7.83,5.92,17,12,139.0,1,8539495.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,8.27,5.00,17,15,125.0,1,7817446.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,8.37,7.00,8,12,133.0,0,7258678.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,9.14,6.00,14,18,121.0,1,6879841.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5.28,6.17,16,15,132.0,1,6592151.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,8.31,5.10,13,15,109.0,1,5653270.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,8.09,6.83,17,15,134.0,1,5316325.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,8.79,7.00,13,0,129.0,0,5138193.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,8.39,5.00,14,18,141.0,0,4945484.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,8.83,6.13,6,12,130.0,0,4853778.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,7.62,4.40,17,15,117.0,1,4018035.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
